Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
The Shawshank Redemption,9.3,Frank Darabont,"Stephen King, Frank Darabont",82.0,1994,United States,English,29332133.0,2 hours 22 minutes
Attack on Titan the Movie: The Last Attack,9.3,Yûichirô Hayashi,"Natsuki Hanae, Yoshimasa Hosoya, Marina Inoue",82.0,2024,Japan,Japanese,3513659.0,2 hours 25 minutes
The Godfather,9.2,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",100.0,1978,United States,"English, Italian, Latin",250342198.0,2 hours 55 minutes
Hababam Sinifi,9.2,Ertem Egilmez,"Umur Bugay, Rifat Ilgaz",100.0,1975,Turkey,Turkish,66424.5,1 hour 25 minutes
Ramayana: The Legend of Prince Rama,9.2,"Ram Mohan, Yûgô Sakô, Koichi Saski","Rani Burra, Ram Mohan, Yûgô Sakô",100.0,2001,"India, Japan",English,8211964.5,2 hours 15 minutes
The Silence of Swastika,9.1,Anuj Bhardwaj,Suzanne Bernert,92.0,2021,India,"Hindi, English",7527030.0,56 minutes
Maya Bazaar,9.1,Kadiri Venkata Reddy,"Pingali Nagendra Rao, Kadiri Venkata Reddy",92.0,1957,India,"Telugu, Tamil",32549.0,3 hours 12 minutes
The Dark Knight,9.0,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",84.0,2008,"United States, United Kingdom","English, Mandarin",1009053678.0,2 hours 32 minutes
Schindler's List,9.0,Steven Spielberg,"Thomas Keneally, Steven Zaillian",95.0,1993,United States,"English, Hebrew, German, Polish, Latin",322161245.0,3 hours 15 minutes
12 Angry Men,9.0,Sidney Lumet,Reginald Rose,97.0,1957,United States,English,2945.0,1 hour 36 minutes
The Godfather: Part II,9.0,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",90.0,1979,United States,"English, Italian, Spanish, Latin, Sicilian",47964222.0,3 hours 22 minutes
The Lord of the Rings: The Return of the King,9.0,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",94.0,2004,"New Zealand, United States","English, Quenya, Old English, Sindarin",1138263151.0,3 hours 21 minutes
Sandesham,9.0,Sathyan Anthikad,Sreenivasan,94.0,1991,India,Malayalam,3497751.5,2 hours 18 minutes
Oggatonama,9.0,Tauquir Ahmed,Tauquir Ahmed,94.0,2016,Bangladesh,Bengali,6787074.0,1 hour 40 minutes
The Lord of the Rings: The Fellowship of the Ring,8.9,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",92.0,2002,"New Zealand, United States, United Kingdom","English, Sindarin",888159923.0,2 hours 58 minutes
Pulp Fiction,8.9,Quentin Tarantino,"Quentin Tarantino, Roger Avary",95.0,1994,United States,"English, Spanish, French",213928762.0,2 hours 34 minutes
I'm Still Here,8.9,Walter Salles,"Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva",79.0,2024,"Brazil, France",Portuguese,6600000.0,2 hours 16 minutes
O.J.: Made in America,8.9,Ezra Edelman,"Willie Brown, Harry Edwards, John McKay",92.0,2016,United States,English,6787074.0,7 hours 47 minutes
The Message,8.9,Moustapha Akkad,"H.A.L. Craig, Tewfik El-Hakim, A.B. Rahman El-Sharkawi",92.0,1976,Libya,Arabic,100513.0,3 hours 27 minutes
Tosun Pasa,8.9,Kartal Tibet,Yavuz Turgul,92.0,2018,Turkey,Turkish,11382356.5,1 hour 30 minutes
Mirror Game,8.9,Amitabh Reza Chowdhury,"Syed Gaosul Alam Shaon, Anam Biswas, Adnan Adib Khan",92.0,2024,Bangladesh,Bengali,6600000.0,2 hours 27 minutes
Hababam Sinifi: Sinifta Kaldi,8.9,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",92.0,1975,Turkey,Turkish,66424.5,1 hour 35 minutes
Kireedam,8.9,Sibi Malayil,A.K. Lohithadas,92.0,1989,India,Malayalam,181001.0,2 hours 4 minutes
Inception,8.8,Christopher Nolan,Christopher Nolan,74.0,2010,"United States, United Kingdom","English, Japanese, French",839030630.0,2 hours 28 minutes
Fight Club,8.8,David Fincher,"Chuck Palahniuk, Jim Uhls",67.0,1999,"Germany, United States",English,101321009.0,2 hours 19 minutes
Forrest Gump,8.8,Robert Zemeckis,"Winston Groom, Eric Roth",82.0,2014,United States,English,678226465.0,2 hours 22 minutes
12th Fail,8.8,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak",82.0,2023,India,Hindi,138288.0,2 hours 27 minutes
"Il Buono, Il Brutto, Il Cattivo",8.8,Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci",90.0,1969,"Italy, Spain, West Germany, United States","Italian, English",25264999.0,2 hours 41 minutes
The Lord of the Rings: The Two Towers,8.8,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",87.0,2003,"New Zealand, United States","English, Sindarin, Old English",938242927.0,2 hours 59 minutes
The Phantom of the Opera at the Royal Albert Hall,8.8,"Nick Morris, Laurence Connor","Richard Stilgoe, Andrew Lloyd Webber, Gaston Leroux",82.0,2011,United Kingdom,English,5247282.0,2 hours 17 minutes
Demon Slayer: Tsuzumi Mansion Arc,8.8,Haruo Sotozaki,Koyoharu Gotouge,82.0,2021,Japan,Japanese,67358.0,1 hour 27 minutes
Les Misérables in Concert: The 25th Anniversary,8.8,"Nick Morris, Laurence Connor, James Powell","Alain Boublil, Claude-Michel Schönberg, Victor Hugo",82.0,2010,United Kingdom,English,742004.0,2 hours 58 minutes
The Human Condition III: A Soldier's Prayer,8.8,Masaki Kobayashi,"Zenzô Matsuyama, Kôichi Inagaki, Masaki Kobayashi",82.0,1961,Japan,"Japanese, Mandarin, Russian",40703.0,3 hours 10 minutes
#Home,8.8,Rojin Thomas,Rojin Thomas,82.0,2021,India,Malayalam,7527030.0,2 hours 38 minutes
Balkanski spijun,8.8,"Dusan Kovacevic, Bozidar 'Bota' Nikolic",Dusan Kovacevic,82.0,1987,Yugoslavia,Serbo-Croatian,6804312.0,1 hour 35 minutes
Maratonci trce pocasni krug,8.8,Slobodan Sijan,Dusan Kovacevic,82.0,1982,Yugoslavia,Serbian,20630135.0,1 hour 32 minutes
The Last Farmer,8.8,M. Manikandan,M. Manikandan,82.0,2022,India,Tamil,5800.0,2 hours 2 minutes
Natsamrat,8.8,"Mahesh Manjrekar, Satish Padwal","Abhijeet Shirish Deshpande, Mahesh Manjrekar, Guru Thakur",82.0,2016,India,Marathi,633.0,2 hours 46 minutes
Süt Kardesler,8.8,Ertem Egilmez,"Hüseyin Rahmi Gürpinar, Sadik Sendil",82.0,1976,Turkey,Turkish,100513.0,1 hour 20 minutes
C/O Kancharapalem,8.8,Venkatesh Maha,Venkatesh Maha,82.0,2018,India,Telugu,11382356.5,2 hours 32 minutes
Monpura,8.8,"Md. Hafizur Rahman, Giasuddin Selim","Arif Hossain, Giasuddin Selim",82.0,2009,Bangladesh,Bengali,14695775.0,2 hours 16 minutes
Nadodikkattu,8.8,Sathyan Anthikad,"Sreenivasan, Lal, Siddique",82.0,1987,India,Malayalam,6804312.0,2 hours 38 minutes
Aparajito,8.8,Anik Datta,"Anik Datta, Sreeparna Mitra, Utsav Mukherjee",82.0,2022,India,Bengali,18068.0,2 hours 18 minutes
Nuvvu Naaku Nachchav,8.8,Vijay K. Bhaskar,"Trivikram Srinivas, Vijay K. Bhaskar",82.0,2001,India,Telugu,8211964.5,3 hours 4 minutes
Interstellar,8.7,Christopher Nolan,"Jonathan Nolan, Christopher Nolan",74.0,2014,"United States, United Kingdom, Canada",English,732055745.0,2 hours 49 minutes
GoodFellas,8.7,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",92.0,2019,United States,"English, Italian, Hebrew, Yiddish",47054352.0,2 hours 25 minutes
The Matrix,8.7,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",73.0,1999,"United States, Australia",English,467840449.0,2 hours 16 minutes
One Flew Over the Cuckoo's Nest,8.7,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey",84.0,1977,United States,English,109115366.0,2 hours 13 minutes
Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas",82.0,1980,United States,English,550016086.0,2 hours 4 minutes
Jai Bhim,8.7,T.J. Gnanavel,"T.J. Gnanavel, Rajendra Sapre",84.0,2021,"India, United States",Tamil,7527030.0,2 hours 44 minutes
Kill Bill: The Whole Bloody Affair,8.7,Quentin Tarantino,"Quentin Tarantino, Uma Thurman",84.0,2006,United States,"English, Japanese, Mandarin, French, Cantonese, Spanish",6207173.0,4 hours 7 minutes
Stop Making Sense,8.7,Jonathan Demme,"Jonathan Demme, Talking Heads",94.0,1984,United States,"English, French",13001597.0,1 hour 28 minutes
Sabari,8.7,Anilkatz,"Anilkatz, Sanni Nagababu",84.0,2024,India,Telugu,6600000.0,2 hours 9 minutes
Kalinga,8.7,Dhruva Vaayu,"Rama Rao Jadhav, Dhruva Vaayu",84.0,2024,India,Telugu,3914.0,1 hour 56 minutes
Soorarai Pottru,8.7,Sudha Kongara,"Sudha Kongara, Shalini Ushadevi, Vijay Kumar",84.0,2020,India,Tamil,25211175.0,2 hours 33 minutes
Shoah,8.7,Claude Lanzmann,"Simon Srebnik, Michael Podchlebnik, Motke Zaïdl",99.0,1985,France,"German, Hebrew, Polish, Yiddish, French, English, Greek, Italian",20175.0,9 hours 26 minutes
777 Charlie,8.7,Kiranraj K,"Kiranraj K, K.N. Vijay Kumar, Satheesh Muthukulam",84.0,2022,India,Kannada,7523995.0,2 hours 16 minutes
Toma,8.7,"Dragan Bjelogrlic, Zoran Lisinac","Zoran Lisinac, Dragan Bjelogrlic, Nikola Pejakovic",84.0,2021,Serbia,"Serbian, German, Romany",3256411.0,2 hours 20 minutes
Nayakan,8.7,Mani Ratnam,"Balakumaran, Rajasri, Mani Ratnam",84.0,1987,India,Tamil,6804312.0,2 hours 36 minutes
Rocketry: The Nambi Effect,8.7,Madhavan,"Madhavan, Ananth Mahadevan, Rahul Pandey",84.0,2022,India,"Hindi, Tamil, English, French",398615.0,2 hours 37 minutes
Daman,8.7,"Lenka Debiprasad, Vishal Mourya","Lenka Debiprasad, Vishal Mourya",84.0,2022,India,"Oriya, Hindi",3253561.5,2 hours 1 minute
Manichitrathazhu,8.7,Fazil,Madhu Muttam,84.0,1993,India,Malayalam,82307.0,2 hours 49 minutes
Peranbu,8.7,Ram,Ram,84.0,2019,India,Tamil,3417.0,2 hours 27 minutes
Saban Oglu Saban,8.7,Ertem Egilmez,Sadik Sendil,84.0,1977,Turkey,Turkish,218872.0,1 hour 30 minutes
Ko to Tamo Peva?,8.7,Slobodan Sijan,Dusan Kovacevic,84.0,1980,Yugoslavia,Serbo-Croatian,9709597.0,1 hour 26 minutes
Pariyerum Perumal,8.7,Mari Selvaraj,Mari Selvaraj,84.0,2018,India,Tamil,11382356.5,2 hours 34 minutes
Thevar Magan,8.7,Bharathan,Kamal Haasan,84.0,1992,India,Tamil,10555619.0,2 hours 25 minutes
Kimetsu No Yaiba: Natagumo Yama Hen,8.7,Haruo Sotozaki,Koyoharu Gotouge,84.0,2020,Japan,Japanese,301723.0,2 hours 18 minutes
Devasuram,8.7,I.V. Sasi,Ranjith,84.0,1993,India,Malayalam,7366736.0,3 hours 7 minutes
Kibar Feyzo,8.7,Atif Yilmaz,"Osman Sahin, Ihsan Yüce",84.0,1978,Turkey,Turkish,10432366.0,1 hour 23 minutes
Zügürt Aga,8.7,Nesli Çölgeçen,Yavuz Turgul,84.0,2021,Turkey,Turkish,7527030.0,1 hour 41 minutes
Neseli Günler,8.7,Orhan Aksoy,Sadik Sendil,84.0,1978,Turkey,Turkish,10432366.0,1 hour 35 minutes
Hababam Sinifi: Uyaniyor,8.7,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",84.0,1976,Turkey,Turkish,100513.0,1 hour 34 minutes
Oru Vadakkan Veeragatha,8.7,T. Hariharan,M.T. Vasudevan Nair,84.0,1989,India,Malayalam,10282188.5,2 hours 48 minutes
Se7en,8.6,David Fincher,Andrew Kevin Walker,65.0,1995,United States,English,327333559.0,2 hours 7 minutes
The Silence of the Lambs,8.6,Jonathan Demme,"Thomas Harris, Ted Tally",86.0,1991,United States,"English, Latin",272742922.0,1 hour 58 minutes
It's a Wonderful Life,8.6,Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra",89.0,1947,United States,"English, French",9767242.0,2 hours 10 minutes
Spider-man: Across the Spider-verse,8.6,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham",86.0,2023,United States,English,690824738.0,2 hours 20 minutes
Saving Private Ryan,8.6,Steven Spielberg,Robert Rodat,91.0,1999,United States,"English, French, German, Czech",482351251.0,2 hours 49 minutes
The Green Mile,8.6,Frank Darabont,"Stephen King, Frank Darabont",61.0,2000,United States,"English, French",286801374.0,3 hours 9 minutes
City of God,8.6,"Fernando Meirelles, Kátia Lund","Bráulio Mantovani, Paulo Lins",79.0,2007,"Brazil, France",Portuguese,30680793.0,2 hours 10 minutes
Terminator 2: Judgment Day,8.6,James Cameron,"James Cameron, William Wisher",75.0,1991,"United States, France","English, Spanish",517778573.0,2 hours 17 minutes
Star Wars: Episode IV - A New Hope,8.6,George Lucas,George Lucas,90.0,1978,United States,English,775398507.0,2 hours 1 minute
Spirited Away,8.6,Hayao Miyazaki,Hayao Miyazaki,96.0,2020,"Japan, United States",Japanese,358110581.0,2 hours 4 minutes
Life Is Beautiful,8.6,Roberto Benigni,"Vincenzo Cerami, Roberto Benigni",58.0,2000,Italy,"Italian, German, English",230099013.0,1 hour 56 minutes
Shichinin No Samurai,8.6,Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",98.0,1954,Japan,Japanese,1063061.0,3 hours 27 minutes
Seppuku,8.6,Masaki Kobayashi,"Yasuhiko Takiguchi, Shinobu Hashimoto",85.0,1962,Japan,Japanese,15222.0,2 hours 13 minutes
The Kashmir Files,8.6,Vivek Agnihotri,"Vivek Agnihotri, Saurabh M. Pandey",86.0,2022,India,Hindi,24821898.0,2 hours 50 minutes
Earthlings,8.6,Shaun Monson,Shaun Monson,86.0,2005,United States,English,8012838.0,1 hour 35 minutes
A Dog's Will,8.6,Guel Arraes,"Guel Arraes, Adriana Falcão, João Falcão",86.0,2000,Brazil,"Portuguese, Latin",6281890.0,1 hour 44 minutes
Kaiva,8.6,Jayathirtha,"Jayathirtha, Raghu Niduvalli",86.0,2023,India,Kannada,4609670.5,2 hours 18 minutes
The Legend of Maula Jatt,8.6,Bilal Lashari,"Bilal Lashari, Nasir Adib",86.0,2024,Pakistan,"Punjabi, Urdu, English",13941539.0,2 hours 33 minutes
Pretty village pretty flame,8.6,Srdjan Dragojevic,"Vanja Bulic, Srdjan Dragojevic, Biljana Maksic",86.0,1997,Federal Republic of Yugoslavia,"Bosnian, Serbian, English",211.0,1 hour 55 minutes
Anbe Sivam,8.6,Sundar C.,"Kamal Haasan, Madan, Mohan Nair",86.0,2003,India,Tamil,8842229.0,2 hours 40 minutes
Lajanje na zvezde,8.6,Zdravko Sotra,"Zdravko Sotra, Milovan Vitezovic",86.0,1998,Federal Republic of Yugoslavia,Serbian,5915511.0,1 hour 35 minutes
Pink Floyd: Live at Pompeii,8.6,Adrian Maben,"David Gilmour, Roger Waters, Richard Wright",86.0,1972,"Belgium, West Germany, France, United Kingdom",English,12697.5,1 hour 32 minutes
Thoovanathumbikal,8.6,P. Padmarajan,P. Padmarajan,86.0,1987,India,Malayalam,6804312.0,2 hours 31 minutes
Spadikam,8.6,Bhadran,"Raajendra Babu, Bhadran",86.0,1995,India,Malayalam,62313.0,2 hours 30 minutes
Human,8.6,Yann Arthus-Bertrand,"Luis Cancu, Atman, Berthony",86.0,2015,France,"English, French, Arabic, Spanish, Portuguese, Italian, Chinese, Russian, Greek, Hebrew, Sign Languages",80410.0,4 hours 23 minutes
Canim Kardesim,8.6,Ertem Egilmez,Sadik Sendil,86.0,1973,Turkey,Turkish,54510.0,1 hour 26 minutes
A tanú,8.6,Péter Bacsó,"Péter Bacsó, János Ujhelyi",86.0,1979,Hungary,Hungarian,20101247.0,1 hour 45 minutes
Hababam Sinifi: Tatilde,8.6,Ertem Egilmez,"Sadik Sendil, Rifat Ilgaz",86.0,1978,Turkey,Turkish,10432366.0,1 hour 37 minutes
Chithram,8.6,Priyadarshan,"Priyadarshan, Sreenivasan",86.0,1988,India,Malayalam,8600823.0,2 hours 39 minutes
Poove Unakkaga,8.6,Vikraman,Vikraman,86.0,1996,India,Tamil,6296790.0,2 hours 30 minutes
Gladiator,8.5,Ridley Scott,"David Franzoni, John Logan, William Nicholson",67.0,2000,"United States, United Kingdom, Malta, Morocco",English,465516248.0,2 hours 35 minutes
Dune: Part Two,8.5,Denis Villeneuve,"Denis Villeneuve, Jon Spaihts, Frank Herbert",79.0,2024,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English,714444358.0,2 hours 46 minutes
Alien,8.5,Ridley Scott,"Dan O'Bannon, Ronald Shusett",89.0,1979,"United Kingdom, United States",English,108610218.0,1 hour 57 minutes
Amaran,8.5,Rajkumar Periasamy,Rajkumar Periasamy,85.0,2024,India,Tamil,1717804.0,2 hours 47 minutes
Django Unchained,8.5,Quentin Tarantino,Quentin Tarantino,81.0,2013,United States,"English, German, French, Italian",426076293.0,2 hours 45 minutes
Parasite,8.5,Bong Joon Ho,"Bong Joon Ho, Han Jin-won",97.0,2020,South Korea,"Korean, English",262129969.0,2 hours 12 minutes
Whiplash,8.5,Damien Chazelle,Damien Chazelle,89.0,2015,United States,English,50360880.0,1 hour 46 minutes
The Departed,8.5,Martin Scorsese,"William Monahan, Alan Mak, Felix Chong",85.0,2007,"United States, Hong Kong","English, Cantonese",291481358.0,2 hours 31 minutes
Léon,8.5,Luc Besson,Luc Besson,64.0,1996,"France, United States","English, Italian, French",20278356.0,1 hour 50 minutes
The Prestige,8.5,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest",66.0,2006,"United Kingdom, United States",English,109676311.0,2 hours 10 minutes
Back to the Future,8.5,Robert Zemeckis,"Robert Zemeckis, Bob Gale",87.0,1986,United States,English,384577472.0,1 hour 56 minutes
Psycho,8.5,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",97.0,2020,United States,English,32066765.0,1 hour 49 minutes
The Lion King,8.5,"Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton",88.0,1994,United States,"English, Swahili, Xhosa, Zulu",981708285.0,1 hour 28 minutes
American History X,8.5,Tony Kaye,David McKenna,62.0,1999,United States,English,23875714.0,1 hour 59 minutes
The Usual Suspects,8.5,Bryan Singer,Christopher McQuarrie,76.0,1996,"United States, Germany","English, Hungarian, Spanish, French",23341568.0,1 hour 46 minutes
The Pianist,8.5,Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman",85.0,2019,"France, Poland, Germany, United Kingdom, United States","English, German, Russian",120098945.0,2 hours 30 minutes
Intouchables,8.5,"Olivier Nakache, Éric Toledano","Olivier Nakache, Éric Toledano, Philippe Pozzo di Borgo",57.0,2012,France,"French, English",426590315.0,1 hour 52 minutes
Maharaja,8.5,Nithilan Saminathan,Nithilan Saminathan,85.0,2024,India,Tamil,975543.0,2 hours 21 minutes
Grave of the Fireflies,8.5,Isao Takahata,"Akiyuki Nosaka, Isao Takahata",94.0,1988,"Japan, United States",Japanese,801143.0,1 hour 28 minutes
Casablanca,8.5,Michael Curtiz,"Julius J. Epstein, Howard Koch, Murray Burnett",100.0,1943,United States,"English, French, German, Italian, Russian",4720495.0,1 hour 42 minutes
C'era Una Volta Il West,8.5,Sergio Leone,"Sergio Donati, Sergio Leone, Dario Argento",82.0,1969,"Italy, United States","Italian, English, Spanish",5435312.0,2 hours 46 minutes
Cinema Paradiso,8.5,Giuseppe Tornatore,"Giuseppe Tornatore, Vanna Paoli",80.0,1988,"Italy, France",Italian,13020497.0,2 hours 54 minutes
Rear Window,8.5,Alfred Hitchcock,"John Michael Hayes, Cornell Woolrich",100.0,1954,United States,English,37043820.0,1 hour 52 minutes
Modern Times,8.5,Charles Chaplin,Charles Chaplin,96.0,1936,United States,English,463618.0,1 hour 27 minutes
Dear Zachary: A Letter to a Son About His Father,8.5,Kurt Kuenne,Kurt Kuenne,82.0,2015,United States,English,18334.0,1 hour 33 minutes
City Lights,8.5,Charles Chaplin,"Charles Chaplin, Harry Carr, Harry Crocker",99.0,1931,United States,"None, English",55154.0,1 hour 27 minutes
Senna,8.5,Asif Kapadia,Manish Pandey,79.0,2011,"United Kingdom, France, United States","English, Portuguese, French, Japanese",10197661.0,1 hour 46 minutes
20 Days in Mariupol,8.5,Mstyslav Chernov,Mstyslav Chernov,83.0,2023,"Ukraine, United States","Russian, Ukrainian, English",34703.0,1 hour 35 minutes
Baraka,8.5,Ron Fricke,"Ron Fricke, Mark Magidson, Genevieve Nicholas",85.0,1993,United States,English,1346497.0,1 hour 36 minutes
Sita Ramam,8.5,Hanu Raghavapudi,"Hanu Raghavapudi, Jay Krishna, Raj Kumar Kandamudi",85.0,2022,India,Telugu,2208029.0,2 hours 43 minutes
Woman in the Dunes,8.5,Hiroshi Teshigahara,"Kôbô Abe, Eiko Yoshida",85.0,1964,Japan,Japanese,119906.5,2 hours 27 minutes
96,8.5,C. Prem Kumar,"Charu Gupta, C. Prem Kumar, Sorif B. Mahmud",85.0,2018,India,Tamil,616333.0,2 hours 38 minutes
La meglio gioventù,8.5,Marco Tullio Giordana,"Sandro Petraglia, Stefano Rulli",89.0,2003,Italy,"Italian, English, Norwegian",2799773.0,6 hours 14 minutes
The Fifth Seal,8.5,Zoltán Fábri,"Zoltán Fábri, Ferenc Sánta",85.0,1976,Hungary,Hungarian,100513.0,1 hour 51 minutes
Intoxicated by Love,8.5,Hasan Fathi,"Hasan Fathi, Farhad Tohidi",85.0,2024,Iran,Persian,6600000.0,1 hour 58 minutes
The Hole,8.5,Jacques Becker,"José Giovanni, Jacques Becker, Jean Aurel",85.0,1960,"France, Italy",French,34588.0,2 hours 11 minutes
Ningen no jôken,8.5,Masaki Kobayashi,"Zenzô Matsuyama, Masaki Kobayashi, Jumpei Gomikawa",85.0,1959,Japan,"Japanese, Mandarin",134241.0,3 hours 28 minutes
Kumbalangi Nights,8.5,Madhu C. Narayanan,Syam Pushkaran,85.0,2019,India,Malayalam,1312005.0,2 hours 15 minutes
For Sama,8.5,"Waad Al-Kateab, Edward Watts","Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab",89.0,2019,"United Kingdom, Syria, United States","Arabic, English",1397546.0,1 hour 40 minutes
Jersey,8.5,Gowtam Tinnanuri,Gowtam Tinnanuri,85.0,2019,India,Telugu,204669.0,2 hours 37 minutes
Sarpatta Parambarai,8.5,Pa. Ranjith,"Tamizh Prabha, Pa. Ranjith",85.0,2021,India,Tamil,7527030.0,2 hours 53 minutes
Ningen no jôken,8.5,Masaki Kobayashi,"Zenzô Matsuyama, Masaki Kobayashi, Jumpei Gomikawa",85.0,1959,Japan,"Japanese, Mandarin, Russian",134241.0,3 hours 1 minute
Michael Madana Kama Rajan,8.5,Singeetam Srinivasa Rao,"Kamal Haasan, Kader Kashmiri, Crazy Mohan",85.0,1990,India,Tamil,13057302.0,2 hours 42 minutes
Aaranya Kaandam,8.5,Thiagarajan Kumararaja,Thiagarajan Kumararaja,85.0,2011,India,Tamil,840000.0,2 hours 6 minutes
Madar,8.5,Ali Hatami,Ali Hatami,85.0,1990,Iran,Persian,13057302.0,1 hour 48 minutes
Gol Maal,8.5,Hrishikesh Mukherjee,"Sailesh Dey, Sachin Bhowmick, Rahi Masoom Reza",85.0,1979,India,Hindi,20101247.0,2 hours 24 minutes
Varljivo leto '68,8.5,Goran Paskaljevic,"Gordan Mihic, Goran Paskaljevic",85.0,1984,Yugoslavia,"Czech, Serbo-Croatian",11801047.0,1 hour 31 minutes
Home,8.5,Yann Arthus-Bertrand,"Isabelle Delannoy, Yann Arthus-Bertrand, Denis Carot",47.0,2009,France,"French, English, Russian, Spanish, German, Uzbek",1857172.0,1 hour 58 minutes
Zübük,8.5,Kartal Tibet,"Aziz Nesin, Atif Yilmaz",85.0,1980,Turkey,Turkish,9709597.0,1 hour 28 minutes
Thalapathi,8.5,Mani Ratnam,"Mani Ratnam, Umesh Sharma",85.0,1991,"India, Philippines",Tamil,1272000.0,2 hours 37 minutes
Çöpçüler Krali,8.5,Zeki Ökten,Umur Bugay,85.0,1977,Turkey,Turkish,218872.0,1 hour 20 minutes
Selvi Boylum Al Yazmalim,8.5,Atif Yilmaz,"Ali Özgentürk, Chingiz Aitmatov",85.0,1978,Turkey,Turkish,45123.0,1 hour 30 minutes
Sachin,8.5,James Erskine,"Siva Ananth, James Erskine, Sandeep Shrivastava",85.0,2017,India,"Hindi, Marathi, English",288557.0,2 hours 18 minutes
Roger Waters: The Wall,8.5,"Sean Evans, Roger Waters","Sean Evans, Roger Waters",85.0,2015,United Kingdom,"English, French",2214417.0,2 hours 12 minutes
Graves End,8.5,James Marlowe,"Rick Askew, James Marlowe, Brian Pugnetti",85.0,2005,United States,English,8012838.0,1 hour 30 minutes
Methagu,8.5,Kittu,"Muthu Cheziyan, Kittu, Krish Thirukumaran",85.0,2021,India,"Tamil, Sinhala",1577.0,1 hour 40 minutes
BTS: Permission to Dance on Stage - LA,8.5,"Park Jun-soo, Sam Wrench",Tori Rose,85.0,2022,South Korea,"Korean, English",3253561.5,2 hours 10 minutes
Inglourious Basterds,8.4,Quentin Tarantino,Quentin Tarantino,69.0,2009,"United States, Germany","English, German, French, Italian",321460456.0,2 hours 33 minutes
Joker,8.4,Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane",59.0,2019,"United States, Canada, Australia","English, German",1078958629.0,2 hours 2 minutes
The Dark Knight Rises,8.4,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer",78.0,2012,"United States, United Kingdom","English, Arabic",1114975066.0,2 hours 44 minutes
Avengers: Endgame,8.4,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee",78.0,2019,United States,"English, Japanese, Xhosa, German",2799439100.0,3 hours 1 minute
The Shining,8.4,Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson",68.0,2017,"United Kingdom, United States",English,47959450.0,2 hours 26 minutes
Alien 2,8.4,James Cameron,"James Cameron, David Giler, Walter Hill",84.0,1987,"United Kingdom, United States","English, Spanish",131060248.0,2 hours 17 minutes
Apocalypse Now,8.4,Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",94.0,1979,United States,"English, French, Vietnamese",105090566.0,2 hours 27 minutes
Memento,8.4,Christopher Nolan,"Christopher Nolan, Jonathan Nolan",83.0,2000,United States,English,40047236.0,1 hour 53 minutes
Raiders of the Lost Ark,8.4,Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman",86.0,1981,United States,"English, German, Spanish, Nepali, Hebrew, Arabic",389925971.0,1 hour 55 minutes
Avengers: Infinity War,8.4,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee",68.0,2018,"United States, Norway",English,2052415039.0,2 hours 29 minutes
Meiyazhagan,8.4,C. Prem Kumar,C. Prem Kumar,83.0,2024,India,Tamil,393589.0,2 hours 57 minutes
Coco,8.4,"Lee Unkrich, Adrian Molina","Lee Unkrich, Jason Katz, Matthew Aldrich",81.0,2017,"United States, Mexico","English, Spanish",814641172.0,1 hour 45 minutes
