Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Bheeshma Parvam,7.6,Amal Neerad,"R.J. Murugan, Amal Neerad, Ravi Sankar",76.0,2022,India,Malayalam,5845408.0,2 hours 24 minutes
Shyam Singha Roy,7.6,Rahul Sankrityan,Satyadev Janga,76.0,2021,India,Telugu,142362.0,2 hours 35 minutes
5 Fingers,7.6,Joseph L. Mankiewicz,"Michael Wilson, L.C. Moyzisch, Joseph L. Mankiewicz",76.0,1952,United States,"English, German, Portuguese, Turkish, French",46317.0,1 hour 48 minutes
RBG,7.6,"Julie Cohen, Betsy West","Ruth Bader Ginsburg, Ann Kittner, Harryette Helsel",71.0,2018,United States,"English, Italian, German, French",14475292.0,1 hour 38 minutes
Le silence de la mer,7.6,Jean-Pierre Melville,"Vercors, Jean-Pierre Melville",76.0,1949,France,"French, German, English",14768.0,1 hour 27 minutes
Der müde Tod,7.6,Fritz Lang,"Fritz Lang, Thea von Harbou",76.0,1922,Germany,German,12156.0,1 hour 37 minutes
Strike,7.6,Sergei Eisenstein,"Grigoriy Aleksandrov, Sergei Eisenstein, Ilya Kravchunovsky",76.0,1925,Soviet Union,Russian,46439.5,1 hour 22 minutes
Sherpa,7.6,Jennifer Peedom,Jennifer Peedom,93.0,2015,"Australia, Nepal","Nepali, English, Chinese",1160595.0,1 hour 36 minutes
It Might Get Loud,7.6,Davis Guggenheim,"Jimmy Page, The Edge, Jack White",70.0,2009,United States,English,1896244.0,1 hour 38 minutes
The Song Remains the Same,7.6,"Peter Clifton, Joe Massot",Peter Clifton,46.0,1976,"United Kingdom, United States",English,2301.0,2 hours 17 minutes
Il y a longtemps que je t'aime,7.6,Philippe Claudel,Philippe Claudel,79.0,2008,"France, Germany","French, English",22274095.0,1 hour 57 minutes
Aferim!,7.6,Radu Jude,"Radu Jude, Florin Lazarescu",84.0,2015,"Romania, Bulgaria, Czech Republic, France","Romanian, Turkish, Romany",350110.0,1 hour 48 minutes
Mr. Skeffington,7.6,Vincent Sherman,"Julius J. Epstein, Elizabeth von Arnim",76.0,1944,United States,English,2391.0,2 hours 26 minutes
Wolyn,7.6,Wojciech Smarzowski,Wojciech Smarzowski,76.0,2016,Poland,"Polish, Ukrainian, Russian, Yiddish, German",6960645.0,2 hours 30 minutes
Zatôichi monogatari,7.6,Kenji Misumi,"Minoru Inuzuka, Kan Shimozawa",76.0,1962,Japan,Japanese,27189.0,1 hour 36 minutes
The Passion of Anna,7.6,Ingmar Bergman,Ingmar Bergman,76.0,1969,Sweden,Swedish,1814.0,1 hour 41 minutes
Lacombe Lucien,7.6,Louis Malle,"Louis Malle, Patrick Modiano",76.0,1974,"France, Italy, West Germany","French, German, English",3228.0,2 hours 18 minutes
Brother 2,7.6,Aleksey Balabanov,Aleksey Balabanov,76.0,2000,Russia,"Russian, English, Ukrainian",591795.0,2 hours 2 minutes
Spellbound,7.6,Jeffrey Blitz,"Angela Arenivar, Ubaldo Arenivar, Jorge Arenivar",80.0,2003,United States,"English, Spanish",7457710.0,1 hour 37 minutes
Tanu Weds Manu Returns,7.6,Aanand L. Rai,Himanshu Sharma,76.0,2015,India,Hindi,4180081.0,2 hours 8 minutes
Dogtown and Z-Boys,7.6,Stacy Peralta,"Stacy Peralta, Craig Stecyk",76.0,2002,United States,English,1523214.0,1 hour 31 minutes
Maghzhaye Koochake Zang Zadeh,7.6,Houman Seyyedi,Houman Seyyedi,76.0,2018,Iran,Persian,7474.0,1 hour 43 minutes
Mahaan,7.6,Karthik Subbaraj,"Srinivasan Elangovan, Karthik Subbaraj",76.0,2022,India,Tamil,3253561.5,2 hours 43 minutes
Salesman,7.6,"Albert Maysles, David Maysles, Charlotte Zwerin","Paul Brennan, Charles McDevitt, James Baker",80.0,2021,United States,English,7527030.0,1 hour 31 minutes
Pyaar Ka Punchnama,7.6,Luv Ranjan,"Luv Ranjan, Sumit Saxena, Vaibhav Suman",76.0,2011,India,Hindi,1776185.0,2 hours 29 minutes
Brides,7.6,Pantelis Voulgaris,Ioanna Karystiani,76.0,2004,"Greece, United States, France","English, Greek, Russian, Turkish, Italian",5000509.0,2 hours 8 minutes
